"Sanford, FL","Lorton, VA"
"Tuscaloosa, AL","Philadelphia, PA"
"Atlanta, GA","Toccoa, GA"
"Edmonds, WA","St. Cloud, MN"
"Alexandria, VA","Kannapolis, NC"
"Gallup, NM","Lawrence, KS"
"Wenatchee, WA","Wolf Point, MT"
"Newbern-Dyersburg, TN","Champaign-Urbana, IL"
"Fredericksburg, VA","Wilson, NC"
"Staples, MN","Vancouver, WA"
"Quantico, VA","Raleigh, NC"
"Jacksonville, FL","Deland, FL"
"Albany, OR","Olympia-Lacey, WA"
"Burlington, NC","Richmond, VA"
"Omaha, NE","Ottumwa, IA"
"La Junta, CO","Naperville, IL"
"Dyer, IN","New York, NY"
"Wilson, NC","Yemassee, SC"
"Yuma, AZ","New Orleans, LA"
"Lawrence, KS","Dodge City, KS"
"Roseville, CA","Creston, IA"
"Bloomington-Normal, IL","Tucson, AZ"
"Elkhart, IN","Schenectady, NY"
"Fayetteville, NC","Rocky Mount, NC"
"Yuma, AZ","Schriever, LA"
"Baltimore, MD","Danville, VA"
"Portland, OR","Bingen-White Salmon, WA"
"Southern Pines, NC","Richmond, VA"
"Wilmington, DE","Hollywood, FL"
"Topeka, KS","Dodge City, KS"
"Lynchburg, VA","Gainesville, GA"
"East Glacier Park, MT","Portage, WI"
"Centralia, WA","Emeryville, CA"
"Tomah, WI","Glenview, IL"
"White Sulphur Springs, WV","Newark, NJ"
"Texarkana, AR","Bloomington-Normal, IL"
"Slidell, LA","Newark, NJ"
"Winter Park, FL","Baltimore, MD"
"Dodge City, KS","Galesburg, IL"
"Kannapolis, NC","Wilson, NC"
"West Glacier, MT","Columbus, WI"
"Oxnard, CA","Martinez, CA"
"Anniston, AL","Charlotte, NC"
"Green River, UT","Denver, CO"
"San Antonio, TX","Walnut Ridge, AR"
"Everett, WA","Stanley, ND"
"Ontario, CA","Beaumont, TX"
"Whitefish, MT","East Glacier Park, MT"
"Richmond, VA","Burlington, NC"
"Naperville, IL","Osceola, IA"
"Hollywood, FL","Baltimore, MD"
"Stanley, ND","Wisconsin Dells, WI"
"Camden, SC","Miami, FL"
"Marshall, TX","Austin, TX"
"Indianapolis, IN","Newark, NJ"
"Grand Junction, CO","Ottumwa, IA"
"Rochester, NY","Syracuse, NY"
"Kingman, AZ","Flagstaff, AZ"
"East Glacier Park, MT","Wisconsin Dells, WI"
"Victorville, CA","Gallup, NM"
"Pasco, WA","Havre, MT"
"Greensboro, NC","Fredericksburg, VA"
"Croton Harmon, NY","Buffalo-Depew, NY"
"Temple, TX","Austin, TX"
"Wilmington, DE","Deerfield Beach, FL"
"Fredericksburg, VA","Cary, NC"
"Greenville, SC","Hattiesburg, MS"
"Vancouver, WA","Davis, CA"
"Rockville, MD","Cumberland, MD"
"Yuma, AZ","San Antonio, TX"
"Hammond, LA","Greenwood, MS"
"Beaumont, TX","Maricopa, AZ"
"Winona, MN","Shelby, MT"
"Cary, NC","Burlington, NC"
"Shelby, MT","Grand Forks, ND"
"Beaumont, TX","Alpine, TX"
"Fort Worth, TX","Walnut Ridge, AR"
"Galesburg, IL","Barstow, CA"
"East Glacier Park, MT","Red Wing, MN"
"Walnut Ridge, AR","Dallas, TX"
"Tomah, WI","Vancouver, WA"
"Baltimore, MD","Camden, SC"
"Kingman, AZ","Riverside, CA"
"Truckee, CA","Sacramento, CA"
"Glasgow, MT","Vancouver, WA"
"Oxnard, CA","Santa Barbara, CA"
"Dallas, TX","Pomona, CA"
"Wolf Point, MT","Milwaukee, WI"
"Lafayette, IN","Washington, DC"
"Whitefish, MT","Leavenworth, WA"
"El Paso, TX","Lafayette, LA"
"Chico, CA","Martinez, CA"
"Trinidad, CO","Albuquerque, NM"
"Riverside, CA","Lamy, NM"
"Kingman, AZ","Dodge City, KS"
"Newark, NJ","Culpeper, VA"
"Quantico, VA","Washington, DC"
"Ottumwa, IA","Grand Junction, CO"
"Temple, TX","Little Rock, AR"
"Syracuse, NY","Schenectady, NY"
"Maricopa, AZ","Pomona, CA"
"Durham, NC","Quantico, VA"
"Creston, IA","Salt Lake City, UT"
"Grand Forks, ND","Williston, ND"
"Staples, MN","Edmonds, WA"
"Chicago, IL","South Shore-South Portsmouth, KY"
"Lakeland, FL","Wilmington, DE"
"Dallas, TX","Taylor, TX"
"Burlington, NC","Durham, NC"
"Gallup, NM","Flagstaff, AZ"
"Alexandria, VA","Staunton, VA"
"Fredericksburg, VA","Baltimore, MD"
"Bingen-White Salmon, WA","Fargo, ND"
"Paso Robles, CA","Emeryville, CA"
"Wolf Point, MT","Glenview, IL"
"Oakland, CA","Sacramento, CA"
"Helper, UT","Denver, CO"
"Selma, NC","Trenton, NJ"
"Burlington, NC","Trenton, NJ"
"Hamlet, NC","Fort Lauderdale, FL"
"Glenview, IL","Tomah, WI"
"Granby, CO","Denver, CO"
"Fayetteville, NC","Deerfield Beach, FL"
"Utica, NY","Waterloo, IN"
"Bloomington-Normal, IL","Cleburne, TX"
"Jesup, GA","Trenton, NJ"
"Elkhart, IN","Erie, PA"
"Richmond, VA","Selma, NC"
"Los Angeles, CA","San Marcos, TX"
"Winona, MN","Spokane, WA"
"Naperville, IL","Provo, UT"
"Temple, TX","Longview, TX"
"El Paso, TX","Fort Worth, TX"
"Homewood, IL","Newbern-Dyersburg, TN"
"Mount Pleasant, IA","Granby, CO"
"Naperville, IL","Mount Pleasant, IA"
"Yemassee, SC","Wilson, NC"
"Trenton, NJ","Deerfield Beach, FL"
"San Antonio, TX","Pontiac, IL"
"Rochester, NY","Erie, PA"
"Wilmington, DE","Selma, NC"
"Little Rock, AR","Tucson, AZ"
"Waterloo, IN","Schenectady, NY"
"Tomah, WI","East Glacier Park, MT"
"Salem, OR","Santa Barbara, CA"
"Lafayette, LA","El Paso, TX"
"Salem, OR","Chico, CA"
"Kissimmee, FL","Southern Pines, NC"
"Cary, NC","Durham, NC"
"Fayetteville, NC","Florence, SC"
"Palatka, FL","Richmond, VA"
"Temple, TX","Palm Springs, CA"
"Rocky Mount, NC","Hollywood, FL"
"Bingen-White Salmon, WA","Spokane, WA"
"Dunsmuir, CA","San Luis Obispo, CA"
"Greenville, SC","Birmingham, AL"
"Miami, FL","Denmark, SC"
"Lynchburg, VA","Charlotte, NC"
"Jackson, MS","Greenwood, MS"
"Danville, VA","Alexandria, VA"
"Cumberland, MD","Rockville, MD"
"Harpers Ferry, WV","Connellsville, PA"
"Roseville, CA","Provo, UT"
"Cumberland, MD","Pittsburgh, PA"
"Stanley, ND","Everett, WA"
"Paso Robles, CA","Santa Barbara, CA"
"Gallup, NM","Newton, KS"
"Austin, TX","Poplar Bluff, MO"
"Topeka, KS","Lamy, NM"
"Prince, WV","Philadelphia, PA"
"Edmonds, WA","Sandpoint, ID"
"Beaumont, TX","San Antonio, TX"
"Sandpoint, ID","Edmonds, WA"
"Quantico, VA","Newark, NJ"
"St. Cloud, MN","Fargo, ND"
"Riverside, CA","Hutchinson, KS"
"Flagstaff, AZ","Princeton, IL"
"Leavenworth, WA","Everett, WA"
"Charlotte, NC","Quantico, VA"
"Rugby, ND","Portland, OR"
"Toccoa, GA","Atlanta, GA"
"Hollywood, FL","Kingstree, SC"
"Baltimore, MD","Spartanburg, SC"
"Gainesville, GA","Trenton, NJ"
"Davis, CA","Vancouver, WA"
"Lawrence, KS","Gallup, NM"
"Reno, NV","Green River, UT"
"Columbus, WI","Red Wing, MN"
"Havre, MT","Detroit Lakes, MN"
"Bloomington-Normal, IL","Mineola, TX"
"Dodge City, KS","La Junta, CO"
"Emeryville, CA","Helper, UT"
"La Junta, CO","Winslow, AZ"
"Olympia-Lacey, WA","Salem, OR"
"Victorville, CA","Trinidad, CO"
"Jesup, GA","Wilmington, DE"
"Hamlet, NC","Richmond, VA"
"Provo, UT","Roseville, CA"
"La Junta, CO","La Plata, MO"
"Croton Harmon, NY","Cleveland, OH"
"Trenton, NJ","Birmingham, AL"
"Tuscaloosa, AL","Alexandria, VA"
"Springfield, MA","South Bend, IN"
"Essex, MT","St. Paul-Minneapolis, MN"
"Everett, WA","St. Cloud, MN"
"Martinez, CA","Creston, IA"
"Tacoma, WA","Davis, CA"
"Emeryville, CA","Salinas, CA"
"Austin, TX","Little Rock, AR"
"Petersburg, VA","Greensboro, NC"
"Burlington, NC","Cary, NC"
"Newark, NJ","Quantico, VA"
"Miami, FL","Yemassee, SC"
"Greensboro, NC","Gainesville, GA"
"Spartanburg, SC","Trenton, NJ"
"Galesburg, IL","Roseville, CA"
"Clifton Forge, VA","New York, NY"
"Baltimore, MD","Anniston, AL"
"Alexandria, VA","Baltimore, MD"
"Wisconsin Dells, WI","Havre, MT"
"El Paso, TX","Yuma, AZ"
"Gastonia, NC","New Orleans, LA"
"Greensboro, NC","Tuscaloosa, AL"
"Sandpoint, ID","St. Cloud, MN"
"Chicago, IL","Leavenworth, WA"
"Petersburg, VA","Wilson, NC"
"Provo, UT","Colfax, CA"
"Palatka, FL","Fayetteville, NC"
"Effingham, IL","Hammond, LA"
"Portage, WI","Shelby, MT"
"Elyria, OH","Albany-Rensselaer, NY"
"Kannapolis, NC","Alexandria, VA"
"La Crosse, WI","Havre, MT"
"East Glacier Park, MT","Whitefish, MT"
"Dallas, TX","Maricopa, AZ"
"Jesup, GA","Hollywood, FL"
"Picayune, MS","Birmingham, AL"
"Staunton, VA","Maysville, KY"
"Emeryville, CA","Kelso-Longview, WA"
"Walnut Ridge, AR","Springfield, IL"
"Austin, TX","Alton, IL"
"Maricopa, AZ","El Paso, TX"
"Lincoln, NE","Naperville, IL"
"Lafayette, IN","Charlottesville, VA"
"Fort Madison, IA","Hutchinson, KS"
"San Antonio, TX","San Marcos, TX"
"Kingman, AZ","Newton, KS"
"Baltimore, MD","Southern Pines, NC"
"McGregor, TX","St. Louis, MO"
"Manassas, VA","Greensboro, NC"
"Columbus, WI","Winona, MN"
"Fullerton, CA","Lawrence, KS"
"Flagstaff, AZ","La Junta, CO"
"Colfax, CA","Glenwood Springs, CO"
"Bingen-White Salmon, WA","Portland, OR"
"Toccoa, GA","New Orleans, LA"
"Durham, NC","Burlington, NC"
"Durham, NC","Fredericksburg, VA"
"Richmond, VA","Winter Haven, FL"
"Davis, CA","Emeryville, CA"
"New Orleans, LA","Manassas, VA"
"Fullerton, CA","Victorville, CA"
"Paso Robles, CA","San Luis Obispo, CA"
"Baltimore, MD","White Sulphur Springs, WV"
"Salinas, CA","Vancouver, WA"
"White Sulphur Springs, WV","Alexandria, VA"
"Tampa, FL","Camden, SC"
"Washington, DC","Crawfordsville, IN"
"Shelby, MT","La Crosse, WI"
"Sacramento, CA",#N/A
"Lakeland, FL","Rocky Mount, NC"
"Redding, CA","Albany, OR"
"San Luis Obispo, CA","Kelso-Longview, WA"
"Martinez, CA","Simi Valley, CA"
"Van Nuys, CA","Sacramento, CA"
"Granby, CO","Sacramento, CA"
"St. Louis, MO","Hope, AR"
"Rocky Mount, NC","Raleigh, NC"
"Cleveland, OH","Toledo, OH"
"Fulton, KY","Homewood, IL"
"Richmond, VA","Lakeland, FL"
"Victorville, CA","Newton, KS"
"Naperville, IL","Roseville, CA"
"Santa Barbara, CA","Tacoma, WA"
"Columbus, WI","La Crosse, WI"
"Maricopa, AZ","San Marcos, TX"
"Detroit Lakes, MN","Milwaukee, WI"
"Newark, NJ","White Sulphur Springs, WV"
"Delray Beach, FL","Palatka, FL"
"Bingen-White Salmon, WA","Chicago, IL"
"Deland, FL","Hamlet, NC"
"Mineola, TX","Bloomington-Normal, IL"
"La Junta, CO","Lawrence, KS"
"Palm Springs, CA","Tucson, AZ"
"Portland, OR","Cut Bank, MT"
"Trenton, NJ","Manassas, VA"
"Redding, CA","Simi Valley, CA"
"Croton Harmon, NY","South Bend, IN"
"Wilmington, DE","Southern Pines, NC"
"Red Wing, MN","Glenview, IL"
"Birmingham, AL","Gainesville, GA"
"Devils Lake, ND","Wenatchee, WA"
"Tacoma, WA","Paso Robles, CA"
"Spokane, WA","Glasgow, MT"
"Burlington, NC","Wilson, NC"
"Mount Pleasant, IA","Naperville, IL"
"San Bernardino, CA","Hutchinson, KS"
"Erie, PA","Boston, MA"
"Staples, MN","Wenatchee, WA"
"Erie, PA","Elkhart, IN"
"Salt Lake City, UT","Ottumwa, IA"
"San Marcos, TX","Springfield, IL"
"Palatka, FL","Winter Park, FL"
"Kelso-Longview, WA","San Luis Obispo, CA"
"Hutchinson, KS","Galesburg, IL"
"La Plata, MO","Riverside, CA"
"Slidell, LA","Manassas, VA"
"Tomah, WI","Detroit Lakes, MN"
"Anniston, AL","Greensboro, NC"
"Sacramento, CA","Martinez, CA"
"Chico, CA","Vancouver, WA"
"Wilmington, DE","White Sulphur Springs, WV"
"Elkhart, IN","Boston, MA"
"Kingstree, SC","Hollywood, FL"
"Davis, CA","Salem, OR"
"New York, NY","Wilmington, DE"
"Homewood, IL","Fulton, KY"
"Princeton, IL","Omaha, NE"
"Chemult, OR","Chico, CA"
"Palm Springs, CA","Lake Charles, LA"
"Sandusky, OH","Utica, NY"
"Naperville, IL","Martinez, CA"
"Walnut Ridge, AR","St. Louis, MO"
"Grand Forks, ND","La Crosse, WI"
"West Glacier, MT","Red Wing, MN"
"Osceola, IA","Martinez, CA"
"Davis, CA","Osceola, IA"
"San Luis Obispo, CA","Simi Valley, CA"
"Vancouver, WA","St. Cloud, MN"
"Trinidad, CO","Topeka, KS"
"Grand Forks, ND","Fargo, ND"
"Needles, CA","Albuquerque, NM"
"Springfield, MA","Pittsfield, MA"
"Richmond, VA","Southern Pines, NC"
"Tuscaloosa, AL","Greensboro, NC"
"Pittsburgh, PA","Rockville, MD"
"Vancouver, WA","Shelby, MT"
"Galesburg, IL","Provo, UT"
"Ephrata, WA","Everett, WA"
"Baltimore, MD","Burlington, NC"
"Wolf Point, MT","St. Cloud, MN"
"Champaign-Urbana, IL","Newbern-Dyersburg, TN"
"Trenton, NJ","Laurel, MS"
"Mount Pleasant, IA","Truckee, CA"
"Edmonds, WA","Leavenworth, WA"
"Wishram, WA","Minot, ND"
"Springfield, IL","Bloomington-Normal, IL"
"Bloomington-Normal, IL","McGregor, TX"
"Dunsmuir, CA","Martinez, CA"
"New Orleans, LA","Laurel, MS"
"Rochester, NY","Utica, NY"
"La Crosse, WI","Fargo, ND"
"Grand Junction, CO","Princeton, IL"
"Eugene, OR","Chemult, OR"
"Omaha, NE","Fort Morgan, CO"
"Barstow, CA","Los Angeles, CA"
"Hattiesburg, MS","Baltimore, MD"
"Florence, SC","Rocky Mount, NC"
"Toccoa, GA","Philadelphia, PA"
"Winter Haven, FL","Tampa, FL"
"Fullerton, CA","La Plata, MO"
"Richmond, CA","Roseville, CA"
"Columbia, SC","Palatka, FL"
"Mineola, TX","Maricopa, AZ"
"La Plata, MO","Williams Junction, AZ"
"El Paso, TX","Beaumont, TX"
"Klamath Falls, OR","Olympia-Lacey, WA"
"Lafayette, LA","Palm Springs, CA"
"Charleston, WV","Indianapolis, IN"
"Winter Park, FL","Palatka, FL"
"Dodge City, KS","Lawrence, KS"
"Charleston, WV","Manassas, VA"
"Galesburg, IL","Dodge City, KS"
"Paso Robles, CA","Centralia, WA"
"Columbus, WI","Wenatchee, WA"
"Utica, NY","Boston, MA"
"Hollywood, FL","Rocky Mount, NC"
"Galesburg, IL","Victorville, CA"
"Sacramento, CA","Davis, CA"
"Bryan, OH","Schenectady, NY"
"Worcester, MA","Rochester, NY"
"Deland, FL","Southern Pines, NC"
"Pittsburgh, PA","Cumberland, MD"
"Fort Madison, IA","Winslow, AZ"
"Grand Forks, ND","West Glacier, MT"
"Harpers Ferry, WV","Toledo, OH"
"Buffalo-Depew, NY","Utica, NY"
"Reno, NV","Winter Park/Fraser, CO"
"Shelby, MT","St. Cloud, MN"
"Hamlet, NC","Winter Park, FL"
"San Antonio, TX","Malvern, AR"
"La Crosse, WI","Wenatchee, WA"
"Davis, CA","Salinas, CA"
"Cumberland, MD","Elkhart, IN"
"Charlottesville, VA","Lafayette, IN"
"Tuscaloosa, AL","Manassas, VA"
"Quantico, VA","Durham, NC"
"La Crosse, WI","West Glacier, MT"
"Rochester, NY","Boston, MA"
"Ottumwa, IA","Colfax, CA"
"Alton, IL","Joliet, IL"
"Trinidad, CO","Fullerton, CA"
"Southern Pines, NC","Deland, FL"
"Del Rio, TX","Tucson, AZ"
"Cut Bank, MT","Portland, OR"
"Arkadelphia, AR","St. Louis, MO"
"Trinidad, CO","Naperville, IL"
"Albany-Rensselaer, NY","Pittsfield, MA"
"Syracuse, NY","Buffalo-Depew, NY"
"Grand Forks, ND","Havre, MT"
"Naperville, IL","Colfax, CA"
"Galesburg, IL","Osceola, IA"
"Petersburg, VA","Columbia, SC"
"Galesburg, IL","Winslow, AZ"
"Anniston, AL","Newark, NJ"
"San Luis Obispo, CA","Paso Robles, CA"
"Salisbury, NC","Anniston, AL"
"St. Paul-Minneapolis, MN","Red Wing, MN"
"Baltimore, MD","Huntington, WV"
"Spokane, WA","Cut Bank, MT"
"Okeechobee, FL","Cary, NC"
"Meridian, MS","Slidell, LA"
"Tomah, WI","Staples, MN"
"Charleston, WV","Cincinnati, OH"
"Baltimore, MD","Hollywood, FL"
"Orlando, FL","Denmark, SC"
"Denmark, SC","Richmond, VA"
"Tucson, AZ","Bloomington-Normal, IL"
"Burlington, NC","Wilmington, DE"
"Lordsburg, NM","San Antonio, TX"
"Simi Valley, CA","San Luis Obispo, CA"
"Fort Morgan, CO","Grand Junction, CO"
"South Bend, IN","Springfield, MA"
"Joliet, IL","San Marcos, TX"
"Provo, UT","Naperville, IL"
"Tomah, WI","Spokane, WA"
"Winter Haven, FL","Alexandria, VA"
"Emeryville, CA","Burbank, CA"
"Anniston, AL","Trenton, NJ"
"Tomah, WI","Sandpoint, ID"
"Newark, NJ","Hattiesburg, MS"
"San Bernardino, CA","Mendota, IL"
"Alton, IL","Los Angeles, CA"
"San Luis Obispo, CA","Burbank, CA"
"Denmark, SC","Hollywood, FL"
"Mineola, TX","Springfield, IL"
"Vancouver, WA","Glasgow, MT"
"Salinas, CA","San Jose, CA"
"Williston, ND","Portage, WI"
"Wisconsin Dells, WI","St. Cloud, MN"
"Santa Barbara, CA","Paso Robles, CA"
"South Bend, IN","Connellsville, PA"
"Green River, UT","Richmond, CA"
"Slidell, LA","Charlotte, NC"
"Springfield, MA","Worcester, MA"
"Burbank, CA","Salinas, CA"
"Klamath Falls, OR","Paso Robles, CA"
"Wenatchee, WA","Staples, MN"
"Toccoa, GA","Manassas, VA"
"Charlottesville, VA","Manassas, VA"
"San Jose, CA","Davis, CA"
"Trinidad, CO","Lawrence, KS"
"Ontario, CA","Lake Charles, LA"
"Fort Lauderdale, FL","Yemassee, SC"
"Charlotte, NC","Anniston, AL"
"Glenwood Springs, CO","Creston, IA"
"Slidell, LA","Trenton, NJ"
"Alexandria, VA","Tuscaloosa, AL"
"Reno, NV","Helper, UT"
"Durham, NC","Rocky Mount, NC"
"Fort Madison, IA","Lamar, CO"
"Mendota, IL","La Plata, MO"
"Philadelphia, PA","Gastonia, NC"
"Malta, MT","Everett, WA"
"Needles, CA","Fort Madison, IA"
"Whitefish, MT","Tomah, WI"
"Glenview, IL","Williston, ND"
"Grand Forks, ND","Pasco, WA"
"Hope, AR","St. Louis, MO"
"Alexandria, VA","Lynchburg, VA"
"Cary, NC","Quantico, VA"
"Kankakee, IL","Carbondale, IL"
"Wishram, WA","Chicago, IL"
"Essex, MT","Leavenworth, WA"
"Winslow, AZ","Fullerton, CA"
"Burbank, CA","Emeryville, CA"
"San Bernardino, CA","Winslow, AZ"
"Spokane, WA","Malta, MT"
"Omaha, NE","Burlington, IA"
"Charlottesville, VA","Huntington, WV"
"Spokane, WA","Bingen-White Salmon, WA"
"La Junta, CO","Dodge City, KS"
"Omaha, NE","Princeton, IL"
"Baltimore, MD","Winter Haven, FL"
"Vancouver, WA","Havre, MT"
"Tuscaloosa, AL","Slidell, LA"
"Hollywood, FL","Alexandria, VA"
"Cary, NC","Delray Beach, FL"
"Winnemucca, NV","Grand Junction, CO"
"Provo, UT","Glenwood Springs, CO"
"Ontario, CA","Del Rio, TX"
"Whitefish, MT","Wenatchee, WA"
"Portage, WI","Williston, ND"
"Riverside, CA","La Junta, CO"
"Paso Robles, CA","Salem, OR"
"Ontario, CA","Arkadelphia, AR"
"Texarkana, AR","Ontario, CA"
"McComb, MS","Hammond, LA"
"Fargo, ND","Wolf Point, MT"
"San Marcos, TX","Texarkana, AR"
"Deerfield Beach, FL","Richmond, VA"
"McGregor, TX","Dallas, TX"
"Simi Valley, CA","Olympia-Lacey, WA"
"St. Paul-Minneapolis, MN","Wishram, WA"
"South Shore-South Portsmouth, KY","Staunton, VA"
"Greensboro, NC","Lynchburg, VA"
"Charlotte, NC","Gainesville, GA"
"Lincoln, IL","Temple, TX"
"Wolf Point, MT","Havre, MT"
"Sandpoint, ID","Fargo, ND"
"Albany-Rensselaer, NY","Bryan, OH"
"Syracuse, NY","Worcester, MA"
"Fayetteville, NC","Palatka, FL"
"Dodge City, KS","Albuquerque, NM"
"Winter Haven, FL","Wilmington, DE"
"Minot, ND","Essex, MT"
"Connersville, IN","Chicago, IL"
"Petersburg, VA","Raleigh, NC"
"Cincinnati, OH","Charleston, WV"
"Flagstaff, AZ","Kingman, AZ"
"Pasco, WA","East Glacier Park, MT"
"Raleigh, NC","Delray Beach, FL"
"Stanley, ND","Wenatchee, WA"
"Memphis, TN","Mattoon, IL"
"Erie, PA","Poughkeepsie, NY"
"Wilmington, DE","Washington, DC"
"Poughkeepsie, NY","Utica, NY"
"Winona, MN","Edmonds, WA"
"Charleston, WV","White Sulphur Springs, WV"
"Cincinnati, OH","Staunton, VA"
"Pasco, WA","Wolf Point, MT"
"Springfield, MA","Syracuse, NY"
"Kingman, AZ","Topeka, KS"
"Walnut Ridge, AR","San Antonio, TX"
"Chicago, IL","Milwaukee, WI"
"Boston, MA","Buffalo-Depew, NY"
"Klamath Falls, OR","Davis, CA"
"Indianapolis, IN","Alexandria, VA"
"Danville, VA","Wilmington, DE"
"Homewood, IL","Mattoon, IL"
"Tacoma, WA","Kelso-Longview, WA"
"Naperville, IL","Trinidad, CO"
"Tampa, FL","Winter Haven, FL"
"Croton Harmon, NY","Utica, NY"
"Granby, CO","Mount Pleasant, IA"
"Victorville, CA","Naperville, IL"
"Edmonds, WA","Essex, MT"
"Okeechobee, FL","Philadelphia, PA"
"Alexandria, VA","White Sulphur Springs, WV"
"Red Wing, MN","Columbus, WI"
"Rhinecliff, NY","Toledo, OH"
"Little Rock, AR","Alton, IL"
"Utica, NY","Buffalo-Depew, NY"
"White Sulphur Springs, WV","Charlottesville, VA"
"Naperville, IL","Lawrence, KS"
"Centralia, WA","Paso Robles, CA"
"Gainesville, GA","Charlotte, NC"
"Omaha, NE","Winter Park/Fraser, CO"
"Austin, TX","Palm Springs, CA"
"Salisbury, NC","Rocky Mount, NC"
"Springfield, IL","Texarkana, AR"
"Los Angeles, CA","Bloomington-Normal, IL"
"Devils Lake, ND","Red Wing, MN"
"Texarkana, AR","Fort Worth, TX"
"Kingstree, SC","Wilson, NC"
"Washington, DC","Manassas, VA"
"Maricopa, AZ","Bloomington-Normal, IL"
"Gallup, NM","Galesburg, IL"
"Rocky Mount, NC","Fayetteville, NC"
"Houston, TX","Lake Charles, LA"
"Alexandria, VA","Spartanburg, SC"
"Charleston, SC","Delray Beach, FL"
"Salt Lake City, UT","Hastings, NE"
"Cincinnati, OH","Newark, NJ"
"Worcester, MA","Toledo, OH"
"Galesburg, IL","Colfax, CA"
"Roseville, CA","Osceola, IA"
"Chico, CA","Salinas, CA"
"Grand Forks, ND","Edmonds, WA"
"Martinez, CA","Paso Robles, CA"
"Anniston, AL","Slidell, LA"
"St. Cloud, MN","Libby, MT"
"Jacksonville, FL","Camden, SC"
"Rocky Mount, NC","High Point, NC"
"La Junta, CO","Victorville, CA"
"Princeton, IL","Albuquerque, NM"
"Deerfield Beach, FL","Wilmington, DE"
"Davis, CA","Richmond, CA"
"Paso Robles, CA","Vancouver, WA"
"Lamy, NM","Naperville, IL"
"Granby, CO","Glenwood Springs, CO"
"McCook, NE","Salt Lake City, UT"
"Riverside, CA","Los Angeles, CA"
"Libby, MT","Fargo, ND"
"Los Angeles, CA","Alton, IL"
"Red Wing, MN","Winona, MN"
"Wolf Point, MT","Minot, ND"
"West Palm Beach, FL","Kingstree, SC"
"Toledo, OH","Connellsville, PA"
"San Antonio, TX","Lordsburg, NM"
"Trenton, NJ","Fredericksburg, VA"
"Houston, TX","Pomona, CA"
"Kannapolis, NC","Trenton, NJ"
"Vancouver, WA","Emeryville, CA"
"Milwaukee, WI","Portage, WI"
"Burbank, CA","Chemult, OR"
"Everett, WA","West Glacier, MT"
"Portage, WI","Fargo, ND"
"Deerfield Beach, FL","Rocky Mount, NC"
"Hollywood, FL","Denmark, SC"
"Kingstree, SC","Trenton, NJ"
"Flagstaff, AZ","Gallup, NM"
"Huntington, WV","Baltimore, MD"
"Edmonds, WA","Wolf Point, MT"
"Riverside, CA","Lamar, CO"
"Everett, WA","Winona, MN"
"La Plata, MO","Galesburg, IL"
"Philadelphia, PA","Okeechobee, FL"
"Harpers Ferry, WV","Elkhart, IN"
"Los Angeles, CA","Sanderson, TX"
"Centralia, WA","Eugene, OR"
"Yemassee, SC","Petersburg, VA"
"Topeka, KS","La Junta, CO"
"St. Louis, MO","Malvern, AR"
"Newark, NJ","Indianapolis, IN"
"Jacksonville, FL","Denmark, SC"
"Staples, MN","Winona, MN"
"Granby, CO","Martinez, CA"
"Philadelphia, PA","Prince, WV"
"Poplar Bluff, MO","Maricopa, AZ"
"Emeryville, CA","Centralia, WA"
"Homewood, IL","Hazlehurst, MS"
"Rockville, MD","Connellsville, PA"
"Burbank, CA","San Luis Obispo, CA"
"Rocky Mount, NC","Winter Park, FL"
"Indianapolis, IN","Wilmington, DE"
"Wolf Point, MT","Winona, MN"
"Delray Beach, FL","Savannah, GA"
"White Sulphur Springs, WV","Charleston, WV"
"Albany, OR","Redding, CA"
"Petersburg, VA","Yemassee, SC"
"Chicago, IL","Green River, UT"
"Malvern, AR","Los Angeles, CA"
"Kingman, AZ","San Bernardino, CA"
"Glenwood Springs, CO","Winter Park/Fraser, CO"
"Temple, TX","Pontiac, IL"
"Emeryville, CA","Winter Park/Fraser, CO"
"San Jose, CA","Salinas, CA"
"Olympia-Lacey, WA","Salinas, CA"
"Riverside, CA","Las Vegas, NM"
"Palm Springs, CA","Poplar Bluff, MO"
"Newark, NJ","Prince, WV"
"Rugby, ND","Seattle, WA"
"Winter Park, FL","Petersburg, VA"
"Truckee, CA","Osceola, IA"
"Stanley, ND","Columbus, WI"
"Centralia, WA","Seattle, WA"
"Chico, CA","Chemult, OR"
"Lawrence, KS","La Junta, CO"
"Klamath Falls, OR","Redding, CA"
"Grand Forks, ND","Glenview, IL"
"Naperville, IL","Dodge City, KS"
"Whitefish, MT","Malta, MT"
"Wilmington, DE","Hattiesburg, MS"
"Kelso-Longview, WA","Tacoma, WA"
"Everett, WA","La Crosse, WI"
"Winona, MN","Fargo, ND"
"Rensselaer, IN","Chicago, IL"
"Manassas, VA","Newark, NJ"
"Van Nuys, CA","Redding, CA"
"Granby, CO","Reno, NV"
"Temple, TX","Walnut Ridge, AR"
"Delray Beach, FL","Cary, NC"
"San Antonio, TX","Poplar Bluff, MO"
"Winona, MN","West Glacier, MT"
"Ashland, KY","Alexandria, VA"
"New Orleans, LA","Lordsburg, NM"
"Connellsville, PA","Rockville, MD"
"Cleburne, TX","St. Louis, MO"
"Havre, MT","Vancouver, WA"
"Washington, DC","Picayune, MS"
"Hollywood, FL","Wilmington, DE"
"Pittsfield, MA","Chicago, IL"
"La Crosse, WI","Shelby, MT"
